clbid,credits,crsid,department,enrolled,instructors,level,max,name,number,pn,prerequisites,revisions,semester,status,term,type,year
0000105082,0.25,0000016220,HIST,7,['Robert Entenmann'],200,10,FLC - Chinese,250,False,False,"[{'_updated': '2016-04-25T21:43:45.463937+00:00', 'locations': []}, {'_updated': '2018-07-12T16:51:36.205614+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.515840+00:00', 'enroll': '7', 'max': '10'}]",1,O,20161,FLAC,2016
0000105086,1.0,0000000747,MATH,"['Algebra is concerned with sets of objects and operations that satisfy a few basic properties. Using the properties we study axiomatic systems such as groups, rings, and fields, covering topics such as homomorphisms, cosets, quotient structures, polynomial rings,and finite fields. Emphasis is on theory and on developing the ability to write proofs. Offered each semester. Counts toward computer science major. Prerequisite: MATH 220. Permission of instructor required for first-year students.']",21,['WRI'],['Adam H. Berliner'],200,18,Abstract Algebra I,['Open to first-year students with permission of department chair.'],252,"[{'day': 'Mo', 'end': '13:50', 'location': 'RNS 204', 'start': '12:55'}, {'day': 'We', 'end': '13:50', 'location': 'RNS 204', 'start': '12:55'}, {'day': 'Fr', 'end': '13:50', 'location': 'RNS 204', 'start': '12:55'}]",False,MATH 220. Permission of instructor required for first-year students.,"[{'_updated': '2016-04-25T21:43:45.466354+00:00', 'locations': []}, {'_updated': '2016-04-27T11:00:59.472799+00:00', 'status': 'O'}, {'_updated': '2018-02-03T00:01:54.857829+00:00', 'prerequisites': 'Prerequisite: MATH 220. Permission of instructor required for first-year students.'}, {'_updated': '2018-07-12T16:51:36.207167+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.516985+00:00', 'enroll': '21', 'max': '18'}]",A,1,C,20161,Research,2016
0000105087,1.0,0000000747,MATH,"['Algebra is concerned with sets of objects and operations that satisfy a few basic properties. Using the properties we study axiomatic systems such as groups, rings, and fields, covering topics such as homomorphisms, cosets, quotient structures, polynomial rings,and finite fields. Emphasis is on theory and on developing the ability to write proofs. Offered each semester. Counts toward computer science major. Prerequisite: MATH 220. Permission of instructor required for first-year students.']",17,['WRI'],['Adam H. Berliner'],200,18,Abstract Algebra I,['Open to first-year students with permission of department chair.'],252,"[{'day': 'Mo', 'end': '14:55', 'location': 'RNS 204', 'start': '14:00'}, {'day': 'We', 'end': '14:55', 'location': 'RNS 204', 'start': '14:00'}, {'day': 'Fr', 'end': '14:55', 'location': 'RNS 204', 'start': '14:00'}]",False,MATH 220. Permission of instructor required for first-year students.,"[{'_updated': '2016-04-25T21:43:45.468718+00:00', 'locations': []}, {'_updated': '2016-04-27T11:00:59.487480+00:00', 'status': 'O'}, {'_updated': '2018-02-03T00:01:54.859065+00:00', 'prerequisites': 'Prerequisite: MATH 220. Permission of instructor required for first-year students.'}, {'_updated': '2018-07-12T16:51:36.208630+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.518025+00:00', 'enroll': '17', 'max': '18'}]",B,1,C,20161,Research,2016
0000105088,1.0,0000000011,AMST,0,['Staff'],200,999,Academic Internship,294,True,False,"[{'_updated': '2016-04-25T21:43:45.469891+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.209956+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.518995+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105089,1.0,0000000014,AMST,0,['Staff'],300,999,Academic Internship,394,True,False,"[{'_updated': '2016-04-25T21:43:45.470813+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.211026+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.519843+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105090,0.25,0000000068,ART,0,['John Saurer'],200,999,Academic Internship,294,True,False,"[{'_updated': '2016-04-25T21:43:45.471695+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2016-09-28T06:12:30.012203+00:00', 'credits': 1.0, 'instructors': ['Staff']}, {'_updated': '2018-07-12T16:51:36.211764+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.520732+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105091,1.0,0000000073,ART,0,['Staff'],300,999,Academic Internship,394,True,False,"[{'_updated': '2016-04-25T21:43:45.472646+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.212484+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.521597+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105092,0.25,0000000153,BIO,"['Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Piper Center for Vocation and Career, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.']",1,0/0,['William C. Solomon'],200,999,Academic Internship,294,True,False,"[{'_updated': '2016-04-25T21:43:45.473650+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2016-10-21T13:14:58.579495+00:00', 'credits': 0.5, 'instructors': ['Staff']}, {'_updated': '2018-07-12T16:51:36.213200+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.522465+00:00', 'enroll': '1', 'max': '999'}, {'_updated': '2018-11-02T04:18:36.024689+00:00', 'firstyear': None}]",1,C,20161,Research,2016
0000105093,1.0,0000000174,BIO,"['Biology 394 is for students who have completed one internship (BIO 294) and wish to complete a second internship. Students interested in an internship should consult with the Piper Center for Vocation and Career, locate a faculty supervisor, and complete an internship form. Internships do not count toward the biology major requirements.']",0,0/0,['Staff'],300,999,Academic Internship,394,True,False,"[{'_updated': '2016-04-25T21:43:45.474584+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.213942+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.523364+00:00', 'enroll': '0', 'max': '999'}, {'_updated': '2018-11-02T04:18:36.025950+00:00', 'firstyear': None}]",1,C,20161,Research,2016
0000105094,1.0,0000000204,CHEM,0,['Staff'],200,999,Academic Internship,294,True,False,"[{'_updated': '2016-04-25T21:43:45.475609+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.214687+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.524212+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105095,1.0,0000000222,CHEM,0,['Staff'],300,999,Academic Internship,394,True,False,"[{'_updated': '2016-04-25T21:43:45.476652+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.215588+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.525414+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
